1,velachery,VLB,chennai beach,14409000,mrts
2,velachery,VLB,chennai beach,14427000,mrts
3,velachery,VLB,chennai beach,18009000,mrts
4,velachery,VLB,chennai beach,18027000,mrts
5,velachery,VLB,chennai beach,21600000,mrts
6,velachery,VLB,chennai beach,21609000,mrts
7,velachery,VLB,chennai beach,21615000,mrts
8,velachery,VLB,chennai beach,21621000,mrts
9,velachery,VLB,chennai beach,25233000,mrts
10,velachery,VLB,chennai beach,25209000,mrts
11,velachery,VLB,chennai beach,25221000,mrts
12,velachery,VLB,chennai beach,25227000,mrts
13,velachery,VLB,chennai beach,28833000,mrts
14,velachery,VLB,chennai beach,28803000,mrts
15,velachery,VLB,chennai beach,28809000,mrts
16,velachery,VLB,chennai beach,28815000,mrts
17,velachery,VLB,chennai beach,28821000,mrts
18,velachery,VLB,chennai beach,28827000,mrts
19,velachery,VLB,chennai beach,32433000,mrts
20,velachery,VLB,chennai beach,32400000,mrts
21,velachery,VLB,chennai beach,32403000,mrts
22,velachery,VLB,chennai beach,32409000,mrts
23,velachery,VLB,chennai beach,32415000,mrts
24,velachery,VLB,chennai beach,32421000,mrts
25,velachery,VLB,chennai beach,32427000,mrts
26,velachery,VLB,chennai beach,36030000,mrts
27,velachery,VLB,chennai beach,36033000,mrts
28,velachery,VLB,chennai beach,36003000,mrts
29,velachery,VLB,chennai beach,36009000,mrts
30,velachery,VLB,chennai beach,36021000,mrts
31,velachery,VLB,chennai beach,39633000,mrts
32,velachery,VLB,chennai beach,39609000,mrts
33,velachery,VLB,chennai beach,39621000,mrts
34,velachery,VLB,chennai beach,43233000,mrts
35,velachery,VLB,chennai beach,43209000,mrts
36,velachery,VLB,chennai beach,43221000,mrts
37,velachery,VLB,chennai beach,46833000,mrts
38,velachery,VLB,chennai beach,3609000,mrts
39,velachery,VLB,chennai beach,3627000,mrts
40,velachery,VLB,chennai beach,7209000,mrts
41,velachery,VLB,chennai beach,7227000,mrts
42,velachery,VLB,chennai beach,10809000,mrts
43,velachery,VLB,chennai beach,10827000,mrts
44,velachery,VLB,chennai beach,14403000,mrts
45,velachery,VLB,chennai beach,14415000,mrts
46,velachery,VLB,chennai beach,14424000,mrts
47,velachery,VLB,chennai beach,18000000,mrts
48,velachery,VLB,chennai beach,18009000,mrts
49,velachery,VLB,chennai beach,18015000,mrts
50,velachery,VLB,chennai beach,18021000,mrts
51,velachery,VLB,chennai beach,18027000,mrts
52,velachery,VLB,chennai beach,21633000,mrts
53,velachery,VLB,chennai beach,21603000,mrts
54,velachery,VLB,chennai beach,21609000,mrts
55,velachery,VLB,chennai beach,21615000,mrts
56,velachery,VLB,chennai beach,21621000,mrts
57,velachery,VLB,chennai beach,21627000,mrts
58,velachery,VLB,chennai beach,25233000,mrts
59,velachery,VLB,chennai beach,25203000,mrts
60,velachery,VLB,chennai beach,25209000,mrts
61,velachery,VLB,chennai beach,25221000,mrts
62,velachery,VLB,chennai beach,28833000,mrts
63,velachery,VLB,chennai beach,28812000,mrts
64,velachery,VLB,chennai beach,28827000,mrts
65,velachery,VLB,chennai beach,32406000,mrts
66,velachery,VLB,chennai beach,32421000,mrts
67,velachery,VLB,chennai beach,36000000,mrts
68,chennai beach,BVL,velachery,18018000,mrts
69,chennai beach,BVL,velachery,18027000,mrts
70,chennai beach,BVL,velachery,21603000,mrts
71,chennai beach,BVL,velachery,21600000,mrts
72,chennai beach,BVL,velachery,21624000,mrts
73,chennai beach,BVL,velachery,25233000,mrts
74,chennai beach,BVL,velachery,25206000,mrts
75,chennai beach,BVL,velachery,25215000,mrts
76,chennai beach,BVL,velachery,25221000,mrts
77,chennai beach,BVL,velachery,28833000,mrts
78,chennai beach,BVL,velachery,28803000,mrts
79,chennai beach,BVL,velachery,28812000,mrts
80,chennai beach,BVL,velachery,28821000,mrts
81,chennai beach,BVL,velachery,32430000,mrts
82,chennai beach,BVL,velachery,32403000,mrts
83,chennai beach,BVL,velachery,32409000,mrts
84,chennai beach,BVL,velachery,32415000,mrts
85,chennai beach,BVL,velachery,32421000,mrts
86,chennai beach,BVL,velachery,36030000,mrts
87,chennai beach,BVL,velachery,36003000,mrts
88,chennai beach,BVL,velachery,36009000,mrts
89,chennai beach,BVL,velachery,36018000,mrts
90,chennai beach,BVL,velachery,36027000,mrts
91,chennai beach,BVL,velachery,39600000,mrts
92,chennai beach,BVL,velachery,39612000,mrts
93,chennai beach,BVL,velachery,39621000,mrts
94,chennai beach,BVL,velachery,43233000,mrts
95,chennai beach,BVL,velachery,43209000,mrts
96,chennai beach,BVL,velachery,43221000,mrts
97,chennai beach,BVL,velachery,46833000,mrts
98,chennai beach,BVL,velachery,3609000,mrts
99,chennai beach,BVL,velachery,3621000,mrts
100,chennai beach,BVL,velachery,7233000,mrts
101,chennai beach,BVL,velachery,7209000,mrts
102,chennai beach,BVL,velachery,7221000,mrts
103,chennai beach,BVL,velachery,10833000,mrts
104,chennai beach,BVL,velachery,10803000,mrts
105,chennai beach,BVL,velachery,10815000,mrts
106,chennai beach,BVL,velachery,10827000,mrts
107,chennai beach,BVL,velachery,14400000,mrts
108,chennai beach,BVL,velachery,14406000,mrts
109,chennai beach,BVL,velachery,14415000,mrts
110,chennai beach,BVL,velachery,14424000,mrts
111,chennai beach,BVL,velachery,18033000,mrts
112,chennai beach,BVL,velachery,18003000,mrts
113,chennai beach,BVL,velachery,18009000,mrts
114,chennai beach,BVL,velachery,18015000,mrts
115,chennai beach,BVL,velachery,18021000,mrts
116,chennai beach,BVL,velachery,18027000,mrts
117,chennai beach,BVL,velachery,21633000,mrts
118,chennai beach,BVL,velachery,21603000,mrts
119,chennai beach,BVL,velachery,21612000,mrts
120,chennai beach,BVL,velachery,21618000,mrts
121,chennai beach,BVL,velachery,21627000,mrts
122,chennai beach,BVL,velachery,25200000,mrts
123,chennai beach,BVL,velachery,25206000,mrts
124,chennai beach,BVL,velachery,25212000,mrts
125,chennai beach,BVL,velachery,25218000,mrts
126,chennai beach,BVL,velachery,28830000,mrts
127,chennai beach,BVL,velachery,28806000,mrts
128,chennai beach,BVL,velachery,28818000,mrts
129,chennai beach,BVL,velachery,32430000,mrts
130,chennai beach,BVL,velachery,32406000,mrts
131,chennai beach,BVL,velachery,32418000,mrts
132,chennai beach,BVL,velachery,36030000,mrts
