214,kelambakkam,adyar
215,adyar,kelambakkam
216,thiruvanmiyur,thiruvotriyur
217,thiruvotriyur,thiruvanmiyur
218,broadway,thiruvanmiyur
219,thiruvanmiyur,broadway
220,broadway,villivakkam
221,villivakkam,broadway
222,mogappair,broadway
223,broadway,mogappair
224,broadway,menambedu
225,menambedu,broadway
226,ayapakkam,ambathur estate
227,ambathur estate,ayapakkam
228,thiruverkadu,ambathur estate
229,ambathur estate,thiruverkadu
230,broadway,peravallur kumaran nagar
231,peravallur kumaran nagar,broadway
232,poompuhar,broadway
233,broadway,poompuhar
234,poonamallee,ambathur estate
235,ambathur estate,poonamallee
236,thiruverkadu,villivakkam
237,villivakkam,thiruverkadu
238,broadway,mandaveli
239,mandaveli,broadway
240,ezhilnagar,mandaveli
241,mandaveli,ezhilnagar
242,nandambakkam,broadway
243,broadway,nandambakkam
244,bharath electronics,broadway
245,broadway,bharath electronics
246,thoraipakkam,central
247,central,thoraipakkam
248,annasquare,aynavaram
249,aynavaram,annasquare
250,egmore,pallavakkam
251,pallavakkam,egmore
254,korattur,thiruvanmiyur
255,thiruvanmiyur,korattur
256,aynavaram,besantnagar
257,besantnagar,aynavaram
258,pudur,vallalar nagar
259,vallalar nagar,pudur
260,kallikuppam,vallalar nagar
261,vallalar nagar,kallikuppam
262,vallalar nagar,oragadam
263,oragadam,vallalar nagar
264,mangadu,broadway
265,broadway,mangadu
266,mogalivakkam,broadway
267,broadway,mogalivakkam
268,annasquare,cmbt
269,cmbt,annasquare
56,mmdacolony,annasquare
270,annasquare,mmdacolony
271,triplicane,cmbt
272,cmbt,triplicane
273,thiruverkadu,tnagar
274,tnagar,thiruverkadu
275,foreshoreestate,villivakkam
276,villivakkam,foreshoreestate
277,annasquare,oragadam
278,oragadam,annasquare
279,oragadam,tnagar
280,tnagar,oragadam
281,egmore,thiruvotriyur
282,thiruvotriyur,egmore
283,egmore,manali
284,manali,egmore
285,egmore,ennore
286,ennore,egmore
287,q m artscollege,tollgate
288,tollgate,q m artscollege
289,annasquare,perambur
290,perambur,annasquare
291,annasquare,periyarnagar
292,periyarnagar,annasquare
293,annasquare,peravallur kumaran nagar
294,peravallur kumaran nagar,annasquare
295,saidapet,perambur
296,perambur,saidapet
297,besantnagar,perambur
298,perambur,besantnagar
299,besantnagar,periyarnagar
300,periyarnagar,besantnagar
301,besantnagar,srinivasanagar
302,srinivasanagar,besantnagar
303,thiruvanmiyur,perambur
304,perambur,thiruvanmiyur
305,vhouse,mathurmmda
306,mathurmmda,vhouse
307,thiruverkadu,perambur
308,perambur,thiruverkadu
309,mandaveli,vinayagapuram
310,vinayagapuram,mandaveli
311,cmbt,mandaveli
312,mandaveli,cmbt
313,peravallur kumaran nagar,velachery
314,velachery,peravallur kumaran nagar
317,annasquare,k kanadasan nagar
318,k kanadasan nagar,annasquare
319,vhouse,vallalar nagar
320,vallalar nagar,vhouse
321,vhouse,korukkupet
322,korukkupet,vhouse
323,vhouse,mkbnagar
324,mkbnagar,vhouse
325,mkbnagar,broadway
326,broadway,mkbnagar
327,vadapalani,villivakkam
328,villivakkam,vadapalani
329,iyappanthangal,k kanadasan nagar
330,k kanadasan nagar,iyappanthangal
331,vadapalani,mkbnagar
332,mkbnagar,vadapalani
333,iyappanthangal,vallalar nagar
334,vallalar nagar,iyappanthangal
335,mathurmmda,high court
336,high court,mathurmmda
337,annasquare,thiruvknagar
338,thiruvknagar,annasquare
339,kodungaiyurparvathynagar,thiruvotriyur
340,thiruvotriyur,kodungaiyurparvathynagar
341,vazhuthigaimedu,high court
342,high court,vazhuthigaimedu
343,high court,madhavaram
344,madhavaram,high court
345,azeezeenagar,high court
346,high court,azeezeenagar
347,mandaveli,koyambedu market
